judge_version,source_bundle,judge_model,generator_model,file,question_id,prompt_variant,trigger_type,A_structure,B_snapshot_constraint,C_actionability,D_completeness,E_drift_failure,total
v0_baseline_judge,judge_gemini_bundle_chatgpt.json,gemini,chatgpt,q4 conflict explicit.pdf,q4,conflict,explicit,2,2,2,2,1,9
v0_baseline_judge,judge_gemini_bundle_claude.json,gemini,claude,q3 weak explicit.pdf,q3,weak,explicit,2,1,2,2,2,9
v0_baseline_judge,judge_gemini_bundle_chatgpt.json,gemini,chatgpt,q4 baseline explicit.pdf,q4,baseline,explicit,2,2,2,2,1,9
v0_baseline_judge,judge_claude_bundle_gemini.json,claude,gemini,q3 conflict explicit.pdf,q3,conflict,explicit,2,2,2,2,2,10
v0_baseline_judge,judge_gemini_bundle_claude.json,gemini,claude,q3 conflict explicit.pdf,q3,conflict,explicit,2,1,2,2,2,9
v0_baseline_judge,judge_gemini_bundle_chatgpt.json,gemini,chatgpt,q4 long explicit.pdf,q4,long,explicit,2,2,2,2,2,10
v0_baseline_judge,judge_claude_bundle_chatgpt.json,claude,chatgpt,q3 long implicit.pdf,q3,long,implicit,2,2,2,2,2,10
v0_baseline_judge,judge_chatgpt_bundle_gemini.json,chatgpt,gemini,q4 baseline implicit.pdf,q4,baseline,implicit,0,0,0,0,0,0
v0_baseline_judge,judge_chatgpt_bundle_gemini.json,chatgpt,gemini,q3_baseline_explicit.pdf,q3,baseline,explicit,2,1,2,2,2,9
v0_baseline_judge,judge_chatgpt_bundle_gemini.json,chatgpt,gemini,q3 conflict explicit.pdf,q3,conflict,explicit,2,1,2,2,2,9
v0_baseline_judge,judge_claude_bundle_gemini.json,claude,gemini,q4 weak explicit.pdf,q4,weak,explicit,2,2,2,2,2,10
v0_baseline_judge,judge_claude_bundle_chatgpt.json,claude,chatgpt,q4 weak implicit.pdf,q4,weak,implicit,2,2,2,2,2,10
v0_baseline_judge,judge_gemini_bundle_chatgpt.json,gemini,chatgpt,q3 weak explicit.pdf,q3,weak,explicit,2,2,2,2,1,9
v0_baseline_judge,judge_chatgpt_bundle_gemini.json,chatgpt,gemini,q4 weak explicit.pdf,q4,weak,explicit,2,1,2,2,2,9
v0_baseline_judge,judge_claude_bundle_gemini.json,claude,gemini,q3 weak explicit.pdf,q3,weak,explicit,2,2,2,2,2,10
v0_baseline_judge,judge_chatgpt_bundle_gemini.json,chatgpt,gemini,q3 conflict implicit.pdf,q3,conflict,implicit,0,0,0,0,0,0
v0_baseline_judge,judge_claude_bundle_gemini.json,claude,gemini,q4 baseline explicit.pdf,q4,baseline,explicit,2,2,2,2,2,10
v0_baseline_judge,judge_chatgpt_bundle_claude.json,chatgpt,claude,q3_long_explicit.pdf,q3,long,explicit,2,1,2,1,2,8
v0_baseline_judge,judge_gemini_bundle_claude.json,gemini,claude,q4 baseline implicit.pdf,q4,baseline,implicit,0,0,0,0,0,0
v0_baseline_judge,judge_claude_bundle_gemini.json,claude,gemini,q3 conflict implicit.pdf,q3,conflict,implicit,0,0,0,0,0,0
v0_baseline_judge,judge_gemini_bundle_claude.json,gemini,claude,q4 conflict explicit.pdf,q4,conflict,explicit,0,0,0,0,0,0
v0_baseline_judge,judge_claude_bundle_chatgpt.json,claude,chatgpt,q4 weak explicit.pdf,q4,weak,explicit,2,0,2,2,2,8
v0_baseline_judge,judge_claude_bundle_gemini.json,claude,gemini,q4 conflict explicit.pdf,q4,conflict,explicit,2,2,2,2,2,10
v0_baseline_judge,judge_gemini_bundle_chatgpt.json,gemini,chatgpt,q4 baseline implicit.pdf,q4,baseline,implicit,0,0,0,0,0,0
v0_baseline_judge,judge_claude_bundle_chatgpt.json,claude,chatgpt,q3 weak explicit.pdf,q3,weak,explicit,2,2,2,2,2,10
v0_baseline_judge,judge_claude_bundle_gemini.json,claude,gemini,q4 long explicit.pdf,q4,long,explicit,2,2,2,2,2,10
v0_baseline_judge,judge_chatgpt_bundle_claude.json,chatgpt,claude,q4_baseline_explicit.pdf,q4,baseline,explicit,0,0,0,0,0,0
v0_baseline_judge,judge_gemini_bundle_claude.json,gemini,claude,q4 long implicit.pdf,q4,long,implicit,0,0,0,0,0,0
v0_baseline_judge,judge_gemini_bundle_chatgpt.json,gemini,chatgpt,q4 weak explicit.pdf,q4,weak,explicit,2,1,2,2,1,8
v0_baseline_judge,judge_gemini_bundle_claude.json,gemini,claude,q3 long implicit.pdf,q3,long,implicit,0,0,0,0,0,0
v0_baseline_judge,judge_chatgpt_bundle_gemini.json,chatgpt,gemini,q3 weak implicit.pdf,q3,weak,implicit,0,0,0,0,0,0
v0_baseline_judge,judge_chatgpt_bundle_claude.json,chatgpt,claude,q4_conflict_explicit.pdf,q4,conflict,explicit,0,0,0,0,0,0
v0_baseline_judge,judge_chatgpt_bundle_claude.json,chatgpt,claude,q3_long_implicit.pdf,q3,long,implicit,0,0,0,0,0,0
v0_baseline_judge,judge_gemini_bundle_chatgpt.json,gemini,chatgpt,q4 conflict implicit.pdf,q4,conflict,implicit,2,2,2,2,1,9
v0_baseline_judge,judge_gemini_bundle_chatgpt.json,gemini,chatgpt,q3 conflict explicit.pdf,q3,conflict,explicit,2,2,2,2,2,10
v0_baseline_judge,judge_claude_bundle_chatgpt.json,claude,chatgpt,q4 long implicit.pdf,q4,long,implicit,2,1,2,2,2,9
v0_baseline_judge,judge_gemini_bundle_chatgpt.json,gemini,chatgpt,q3 long implicit.pdf,q3,long,implicit,2,2,2,2,2,10
v0_baseline_judge,judge_chatgpt_bundle_gemini.json,chatgpt,gemini,q4 conflict implicit.pdf,q4,conflict,implicit,0,0,0,0,0,0
v0_baseline_judge,judge_chatgpt_bundle_claude.json,chatgpt,claude,q3_conflict_explicit.pdf,q3,conflict,explicit,2,2,2,1,2,9
v0_baseline_judge,judge_gemini_bundle_chatgpt.json,gemini,chatgpt,q3 baseline explicit.pdf,q3,baseline,explicit,2,2,2,2,2,10
v0_baseline_judge,judge_claude_bundle_gemini.json,claude,gemini,q4 conflict implicit.pdf,q4,conflict,implicit,0,0,0,0,0,0
v0_baseline_judge,judge_gemini_bundle_claude.json,gemini,claude,q3 long explicit.pdf,q3,long,explicit,2,1,2,2,2,9
v0_baseline_judge,judge_gemini_bundle_claude.json,gemini,claude,q3 baseline explicit.pdf,q3,baseline,explicit,2,1,2,2,2,9
v0_baseline_judge,judge_gemini_bundle_claude.json,gemini,claude,q4 long explicit.pdf,q4,long,explicit,0,0,0,0,0,0
v0_baseline_judge,judge_gemini_bundle_chatgpt.json,gemini,chatgpt,q3 weak implicit.pdf,q3,weak,implicit,2,2,2,2,1,9
v0_baseline_judge,judge_chatgpt_bundle_claude.json,chatgpt,claude,q4_long_explicit.pdf,q4,long,explicit,0,0,0,0,0,0
v0_baseline_judge,judge_gemini_bundle_chatgpt.json,gemini,chatgpt,q4 long implicit.pdf,q4,long,implicit,2,2,2,2,1,9
v0_baseline_judge,judge_claude_bundle_gemini.json,claude,gemini,q4 long implicit.pdf,q4,long,implicit,0,0,0,0,0,0
v0_baseline_judge,judge_chatgpt_bundle_claude.json,chatgpt,claude,q3_conflict_implicit.pdf,q3,conflict,implicit,0,0,0,0,0,0
v0_baseline_judge,judge_chatgpt_bundle_claude.json,chatgpt,claude,q3_weak_implicit.pdf,q3,weak,implicit,0,0,0,0,0,0
v0_baseline_judge,judge_chatgpt_bundle_gemini.json,chatgpt,gemini,q3 long explicit.pdf,q3,long,explicit,2,1,2,2,2,9
v0_baseline_judge,judge_claude_bundle_chatgpt.json,claude,chatgpt,q3 weak implicit.pdf,q3,weak,implicit,2,2,2,2,2,10
v0_baseline_judge,judge_chatgpt_bundle_claude.json,chatgpt,claude,q4_baseline_implicit.pdf,q4,baseline,implicit,0,0,0,0,0,0
v0_baseline_judge,judge_claude_bundle_gemini.json,claude,gemini,q3 baseline implicit.pdf,q3,baseline,implicit,0,0,0,0,0,0
v0_baseline_judge,judge_chatgpt_bundle_claude.json,chatgpt,claude,q4_weak_explicit.pdf,q4,weak,explicit,0,0,0,0,0,0
v0_baseline_judge,judge_chatgpt_bundle_claude.json,chatgpt,claude,q4_conflict_implicit.pdf,q4,conflict,implicit,0,0,0,0,0,0
v0_baseline_judge,judge_chatgpt_bundle_gemini.json,chatgpt,gemini,q3 long implicit.pdf,q3,long,implicit,0,0,0,0,0,0
v0_baseline_judge,judge_claude_bundle_chatgpt.json,claude,chatgpt,q4 baseline implicit.pdf,q4,baseline,implicit,0,0,0,0,0,0
v0_baseline_judge,judge_gemini_bundle_claude.json,gemini,claude,q3 baseline implicit.pdf,q3,baseline,implicit,0,0,0,0,0,0
v0_baseline_judge,judge_chatgpt_bundle_gemini.json,chatgpt,gemini,q4 long explicit.pdf,q4,long,explicit,2,1,2,2,2,9
v0_baseline_judge,judge_claude_bundle_gemini.json,claude,gemini,q3 weak implicit.pdf,q3,weak,implicit,0,0,0,0,0,0
v0_baseline_judge,judge_chatgpt_bundle_claude.json,chatgpt,claude,q4_weak_implicit.pdf,q4,weak,implicit,0,0,0,0,0,0
v0_baseline_judge,judge_chatgpt_bundle_gemini.json,chatgpt,gemini,q3 baseline implicit.pdf,q3,baseline,implicit,0,0,0,0,0,0
v0_baseline_judge,judge_claude_bundle_chatgpt.json,claude,chatgpt,q3 conflict implicit.pdf,q3,conflict,implicit,2,2,2,2,2,10
v0_baseline_judge,judge_chatgpt_bundle_gemini.json,chatgpt,gemini,q4 weak implicit.pdf,q4,weak,implicit,0,0,0,0,0,0
v0_baseline_judge,judge_chatgpt_bundle_claude.json,chatgpt,claude,q3_baseline_explicit.pdf,q3,baseline,explicit,2,1,2,1,2,8
v0_baseline_judge,judge_chatgpt_bundle_claude.json,chatgpt,claude,q3_baseline_implicit.pdf,q3,baseline,implicit,0,0,0,0,0,0
v0_baseline_judge,judge_claude_bundle_chatgpt.json,claude,chatgpt,q4 conflict explicit.pdf,q4,conflict,explicit,2,2,2,2,2,10
v0_baseline_judge,judge_chatgpt_bundle_gemini.json,chatgpt,gemini,q4 conflict explicit.pdf,q4,conflict,explicit,2,1,2,2,2,9
v0_baseline_judge,judge_gemini_bundle_claude.json,gemini,claude,q4 weak implicit.pdf,q4,weak,implicit,0,0,0,0,0,0
v0_baseline_judge,judge_gemini_bundle_claude.json,gemini,claude,q4 conflict implicit.pdf,q4,conflict,implicit,0,0,0,0,0,0
v0_baseline_judge,judge_chatgpt_bundle_claude.json,chatgpt,claude,q3_weak_explicit.pdf,q3,weak,explicit,2,2,2,1,2,9
v0_baseline_judge,judge_gemini_bundle_claude.json,gemini,claude,q3 conflict implicit.pdf,q3,conflict,implicit,0,0,0,0,0,0
v0_baseline_judge,judge_gemini_bundle_claude.json,gemini,claude,q4 weak explicit.pdf,q4,weak,explicit,0,0,0,0,0,0
