generator,q,version,avg_total
chatgpt,q3,baseline,7.5
chatgpt,q3,conflict,9.75
chatgpt,q3,long,9.5
chatgpt,q3,weak,9.5
chatgpt,q4,baseline,4.75
chatgpt,q4,conflict,9.5
chatgpt,q4,long,9.25
chatgpt,q4,weak,8.75
claude,q3,baseline,4.25
claude,q3,conflict,4.5
claude,q3,long,4.25
claude,q3,weak,4.5
claude,q4,baseline,0.0
claude,q4,conflict,0.0
claude,q4,long,0.0
claude,q4,weak,0.0
gemini,q3,baseline,4.0
gemini,q3,conflict,4.75
gemini,q3,long,4.75
gemini,q3,weak,4.75
gemini,q4,baseline,6.75
gemini,q4,conflict,4.75
gemini,q4,long,4.75
gemini,q4,weak,4.75
