judge_version,source_bundle,judge_model,generator_model,file,question_id,prompt_variant,trigger_type,A_structure,B_snapshot_constraint,C_actionability,D_completeness,E_drift_failure,total
v1_paraphrase_judge,judge_gemini_bundle_chatgpt.json,gemini,chatgpt,q3_conflict_implicit.pdf,q3,conflict,implicit,2,2,2,2,0,8
v1_paraphrase_judge,judge_chatgpt_bundle_gemini.json,chatgpt,gemini,google_gemini-3-pro/q4_weak_explicit.pdf,q4,weak,explicit,2,2,1,1,2,8
v1_paraphrase_judge,judge_chatgpt_bundle_gemini.json,chatgpt,gemini,google_gemini-3-pro/q4_conflict_implicit.pdf,q4,conflict,implicit,2,1,2,2,0,7
v1_paraphrase_judge,judge_chatgpt_bundle_gemini.json,chatgpt,gemini,google_gemini-3-pro/q3_long_explicit.pdf,q3,long,explicit,2,1,2,2,1,8
v1_paraphrase_judge,judge_gemini_bundle_chatgpt.json,gemini,chatgpt,q4_conflict_explicit.pdf,q4,conflict,explicit,2,2,2,2,0,8
v1_paraphrase_judge,judge_chatgpt_bundle_gemini.json,chatgpt,gemini,google_gemini-3-pro/q4_baseline_explicit.pdf,q4,baseline,explicit,2,2,2,2,1,9
v1_paraphrase_judge,judge_chatgpt_bundle_gemini.json,chatgpt,gemini,google_gemini-3-pro/q4_long_explicit.pdf,q4,long,explicit,2,1,2,2,1,8
v1_paraphrase_judge,judge_chatgpt_bundle_gemini.json,chatgpt,gemini,google_gemini-3-pro/q4_long_implicit.pdf,q4,long,implicit,2,1,2,2,1,8
v1_paraphrase_judge,judge_gemini_bundle_chatgpt.json,gemini,chatgpt,q4_baseline_implicit.pdf,q4,baseline,implicit,0,0,0,0,2,2
v1_paraphrase_judge,judge_gemini_bundle_chatgpt.json,gemini,chatgpt,q4_conflict_implicit.pdf,q4,conflict,implicit,2,2,2,2,0,8
v1_paraphrase_judge,judge_gemini_bundle_chatgpt.json,gemini,chatgpt,q3_conflict_explicit.pdf,q3,conflict,explicit,2,2,2,2,0,8
v1_paraphrase_judge,judge_chatgpt_bundle_gemini.json,chatgpt,gemini,google_gemini-3-pro/q3_baseline_explicit.pdf,q3,baseline,explicit,2,2,2,2,1,9
v1_paraphrase_judge,judge_chatgpt_bundle_gemini.json,chatgpt,gemini,google_gemini-3-pro/q4_weak_implicit.pdf,q4,weak,implicit,2,2,1,1,2,8
v1_paraphrase_judge,judge_gemini_bundle_chatgpt.json,gemini,chatgpt,q3_weak_explicit.pdf,q3,weak,explicit,2,2,2,2,0,8
v1_paraphrase_judge,judge_gemini_bundle_chatgpt.json,gemini,chatgpt,q4_weak_explicit.pdf,q4,weak,explicit,2,2,2,2,0,8
v1_paraphrase_judge,judge_gemini_bundle_chatgpt.json,gemini,chatgpt,q4_weak_implicit.pdf,q4,weak,implicit,2,2,2,2,0,8
v1_paraphrase_judge,judge_chatgpt_bundle_gemini.json,chatgpt,gemini,google_gemini-3-pro/q3_long_implicit.pdf,q3,long,implicit,2,1,2,2,1,8
v1_paraphrase_judge,judge_chatgpt_bundle_gemini.json,chatgpt,gemini,google_gemini-3-pro/q4_conflict_explicit.pdf,q4,conflict,explicit,2,1,2,2,0,7
v1_paraphrase_judge,judge_chatgpt_bundle_gemini.json,chatgpt,gemini,google_gemini-3-pro/q3_weak_explicit.pdf,q3,weak,explicit,2,2,1,1,2,8
v1_paraphrase_judge,judge_gemini_bundle_chatgpt.json,gemini,chatgpt,q3_long_implicit.pdf,q3,long,implicit,2,2,2,2,0,8
v1_paraphrase_judge,judge_chatgpt_bundle_gemini.json,chatgpt,gemini,google_gemini-3-pro/q3_baseline_implicit.pdf,q3,baseline,implicit,2,2,2,2,1,9
v1_paraphrase_judge,judge_chatgpt_bundle_gemini.json,chatgpt,gemini,google_gemini-3-pro/q4_baseline_implicit.pdf,q4,baseline,implicit,2,2,2,2,1,9
v1_paraphrase_judge,judge_gemini_bundle_chatgpt.json,gemini,chatgpt,q3_long_explicit.pdf,q3,long,explicit,2,2,2,2,0,8
v1_paraphrase_judge,judge_chatgpt_bundle_gemini.json,chatgpt,gemini,google_gemini-3-pro/q3_weak_implicit.pdf,q3,weak,implicit,2,2,1,1,2,8
v1_paraphrase_judge,judge_gemini_bundle_chatgpt.json,gemini,chatgpt,q3_baseline_explicit.pdf,q3,baseline,explicit,2,2,2,2,0,8
v1_paraphrase_judge,judge_gemini_bundle_chatgpt.json,gemini,chatgpt,q4_long_explicit.pdf,q4,long,explicit,2,2,2,2,0,8
v1_paraphrase_judge,judge_gemini_bundle_chatgpt.json,gemini,chatgpt,q4_long_implicit.pdf,q4,long,implicit,2,2,2,2,0,8
v1_paraphrase_judge,judge_gemini_bundle_chatgpt.json,gemini,chatgpt,q3_weak_implicit.pdf,q3,weak,implicit,2,2,2,2,0,8
v1_paraphrase_judge,judge_gemini_bundle_chatgpt.json,gemini,chatgpt,q4_baseline_explicit.pdf,q4,baseline,explicit,2,2,2,2,0,8
v1_paraphrase_judge,judge_chatgpt_bundle_gemini.json,chatgpt,gemini,google_gemini-3-pro/q3_conflict_implicit.pdf,q3,conflict,implicit,2,1,2,2,0,7
v1_paraphrase_judge,judge_gemini_bundle_chatgpt.json,gemini,chatgpt,q3_baseline_implicit.pdf,q3,baseline,implicit,2,0,2,2,0,6
v1_paraphrase_judge,judge_chatgpt_bundle_gemini.json,chatgpt,gemini,google_gemini-3-pro/q3_conflict_explicit.pdf,q3,conflict,explicit,2,1,2,2,0,7
